aX,aY,aZ,gX,gY,gZ
-0.869,-0.288,-0.530,145.142,-21.362,-37.048
-0.902,-0.241,-0.497,135.864,-43.701,-28.809
-0.914,-0.214,-0.513,121.704,-77.148,-18.860
-0.936,-0.205,-0.551,102.356,-116.882,-9.644
-0.954,-0.156,-0.573,80.750,-161.133,-4.028
-1.023,-0.075,-0.607,58.228,-204.956,-0.366
-1.110,-0.006,-0.667,36.743,-240.601,1.282
-1.216,0.072,-0.728,18.433,-262.207,1.953
-1.330,0.154,-0.797,2.502,-270.325,2.014
-1.440,0.253,-0.892,-9.705,-266.724,1.282
-1.575,0.382,-0.983,-17.517,-254.639,0.183
-1.737,0.592,-1.037,-26.306,-237.122,-0.183
-1.884,0.796,-1.078,-43.884,-221.130,5.066
-2.027,1.038,-1.080,-74.280,-209.473,19.775
-2.148,1.260,-1.016,-117.310,-203.247,48.035
-2.237,1.468,-0.935,-171.814,-205.322,88.989
-2.268,1.697,-0.802,-231.995,-214.966,137.756
-2.204,1.903,-0.597,-290.283,-229.065,189.026
-2.035,2.079,-0.383,-343.811,-246.094,234.436
-1.860,2.261,-0.140,-387.329,-263.245,270.569
-1.631,2.494,0.224,-424.377,-277.100,295.288
-1.370,2.738,0.762,-463.623,-281.555,309.814
-1.133,2.977,1.572,-507.446,-276.978,316.345
-0.798,3.105,2.568,-544.434,-271.484,311.584
-0.556,2.864,3.392,-549.194,-277.771,293.701
-0.557,2.484,3.791,-503.418,-295.044,268.738
-0.711,2.250,3.781,-411.743,-298.645,238.953
-0.862,2.154,3.633,-316.956,-270.569,207.520
-0.991,2.055,3.505,-259.888,-218.201,185.547
-1.005,1.989,3.603,-232.971,-161.926,180.725
-0.938,1.805,3.785,-219.727,-125.793,186.890
-0.817,1.603,3.861,-203.186,-117.371,198.242
-0.691,1.439,3.843,-173.767,-126.770,208.984
0.284,-0.347,0.967,61.646,188.965,-39.063
0.342,-0.343,0.897,67.871,191.772,-39.734
0.381,-0.338,0.793,76.660,194.458,-44.800
0.403,-0.318,0.665,86.548,196.960,-54.138
0.406,-0.292,0.524,97.168,200.317,-67.505
0.380,-0.251,0.382,107.178,206.726,-82.825
0.336,-0.206,0.218,115.601,215.820,-97.534
0.294,-0.152,0.051,121.521,226.929,-109.558
0.249,-0.101,-0.102,124.634,238.892,-117.920
0.208,-0.051,-0.234,124.023,248.413,-123.962
0.155,0.004,-0.337,118.958,255.554,-128.845
0.092,0.078,-0.398,110.046,260.803,-131.775
0.035,0.159,-0.428,98.206,266.724,-130.554
-0.018,0.236,-0.436,82.458,274.597,-123.291
-0.050,0.306,-0.406,64.514,283.447,-109.314
-0.063,0.369,-0.357,46.021,286.987,-91.003
-0.065,0.443,-0.305,28.076,281.128,-71.472
-0.066,0.526,-0.267,11.963,264.648,-52.795
-0.069,0.609,-0.243,-2.197,238.403,-36.255
-0.077,0.707,-0.243,-13.855,203.674,-21.362
-0.086,0.795,-0.286,-23.743,160.095,-8.911
-0.090,0.870,-0.374,-33.752,110.596,1.038
-0.098,0.922,-0.495,-46.021,60.425,6.226
-0.156,0.976,-0.622,-64.331,11.597,3.967
-0.271,1.048,-0.777,-89.722,-33.142,-3.906
-0.399,1.141,-0.934,-121.094,-68.542,-10.498
-0.524,1.250,-1.070,-158.203,-87.036,-12.268
-0.683,1.392,-1.180,-200.500,-83.862,-7.202
-0.836,1.562,-1.203,-244.629,-58.838,9.460
-0.903,1.768,-1.105,-289.062,-18.799,40.771
-0.878,1.984,-0.872,-329.041,27.222,84.412
-0.782,2.141,-0.583,-356.201,64.758,132.996
-0.702,2.268,-0.329,-369.324,80.078,180.481
-0.620,2.362,-0.125,-374.817,73.364,220.398
-0.537,2.436,0.097,-376.404,48.523,256.409
-0.457,2.483,0.313,-377.563,4.883,290.833
-0.397,2.507,0.393,-380.127,-59.326,320.862
0.058,2.645,0.515,-386.841,-135.010,345.825
-0.585,2.704,0.451,-396.851,-207.031,374.817
-0.418,2.757,0.890,-404.053,-217.773,380.676
-0.261,3.025,1.400,-396.057,-247.253,386.658
0.197,3.136,1.912,-391.785,-260.254,393.860
0.520,3.000,2.437,-386.353,-279.785,386.780
0.673,2.877,2.849,-379.761,-311.523,378.174
0.778,2.804,3.394,-360.291,-336.792,356.628
0.804,2.750,4.000,-324.219,-357.361,337.036
0.906,2.725,4.000,-279.724,-369.568,322.754
1.030,2.721,4.000,-221.619,-364.136,300.598
1.292,2.695,4.000,-152.527,-337.891,259.766
1.594,2.556,4.000,-86.426,-331.177,197.632
1.393,2.473,4.000,-36.255,-346.741,125.488
1.389,2.284,4.000,-9.338,-285.645,74.280
1.440,2.194,4.000,16.907,-212.036,26.733
1.592,2.185,3.920,33.264,-147.827,-24.475
1.608,2.104,3.706,39.673,-96.252,-75.867
1.644,2.081,3.473,50.476,-45.959,-127.014
1.599,1.993,3.200,66.772,3.540,-165.283
1.587,1.892,2.924,83.435,31.250,-206.055
1.433,1.788,2.688,99.121,44.861,-238.831
1.278,1.693,2.433,116.760,55.847,-258.484
1.141,1.557,2.171,137.939,64.026,-269.836
1.037,1.388,1.915,157.654,63.721,-278.137
0.926,1.215,1.652,172.913,52.673,-288.147
0.775,1.048,1.398,184.021,43.457,-298.889
0.653,0.921,1.170,193.054,41.504,-308.533
0.538,0.777,1.004,198.853,44.800,-316.650
0.437,0.649,0.874,198.364,50.293,-323.120
0.327,0.533,0.801,195.557,53.101,-328.064
0.236,0.422,0.751,193.115,56.152,-329.895
0.153,0.312,0.724,192.017,58.777,-327.576
0.094,0.233,0.688,192.627,59.143,-321.533
0.047,0.161,0.633,194.763,56.396,-313.477
0.006,0.090,0.531,196.045,53.955,-305.115
-0.029,0.036,0.431,195.801,55.420,-298.950
-0.078,-0.009,0.354,194.824,62.866,-295.227
-0.137,-0.066,0.292,193.909,75.195,-290.161
-0.182,-0.111,0.244,193.481,88.501,-283.752
-0.217,-0.146,0.193,192.688,99.670,-276.245
-0.262,-0.164,0.164,189.209,109.253,-267.212
-0.273,-0.165,0.162,183.228,116.150,-257.385
-0.284,-0.170,0.179,176.025,116.028,-244.568
-0.290,-0.177,0.189,169.250,105.103,-229.187
-0.311,-0.196,0.184,163.757,86.182,-213.684
-0.339,-0.212,0.167,161.194,60.608,-198.730
-0.372,-0.207,0.144,162.476,29.236,-186.157
-0.414,-0.175,0.120,166.809,-6.592,-176.453
-0.496,-0.139,0.064,173.035,-50.171,-167.358
-0.588,-0.083,-0.035,178.955,-98.633,-156.189
-0.691,-0.048,-0.154,182.190,-142.639,-142.639
-0.785,-0.017,-0.272,181.885,-176.514,-127.563
-0.915,-0.003,-0.390,174.194,-199.707,-111.938
-1.077,-0.007,-0.469,159.363,-210.999,-96.069
-1.247,-0.013,-0.485,140.686,-214.783,-80.627
-1.399,-0.023,-0.460,117.493,-217.346,-64.392
-1.517,-0.019,-0.431,89.050,-219.910,-49.316
-1.640,-0.014,-0.367,57.007,-222.412,-34.912
-1.779,-0.002,-0.272,29.175,-226.685,-21.729
-1.958,0.029,-0.207,8.118,-235.657,-10.193
-2.135,0.033,-0.209,-6.470,-248.230,-1.648
-2.362,0.027,-0.314,-13.428,-260.132,5.920
-2.686,0.113,-0.496,-13.123,-268.982,15.564
-2.999,0.324,-0.659,-11.108,-267.700,31.311
-3.168,0.620,-0.780,-18.616,-252.563,58.411
-3.240,0.879,-0.800,-46.326,-234.192,98.755
-3.191,1.255,-0.711,-95.093,-225.891,151.428
-3.083,1.549,-0.500,-156.555,-230.652,215.027
-2.895,1.840,-0.186,-222.839,-248.291,282.227
-2.653,1.975,0.137,-275.024,-276.550,345.337
-2.396,2.010,0.323,-303.406,-307.251,389.771
-2.164,2.109,0.396,-311.890,-329.407,413.574
-1.958,2.300,0.480,-312.378,-328.491,419.861
-1.742,2.570,0.617,-320.557,-300.415,415.466
-1.468,2.907,0.986,-339.661,-254.700,408.936
-1.124,3.155,1.525,-364.258,-207.458,408.630
-0.753,3.239,2.086,-388.062,-177.917,413.086
-0.399,3.273,2.744,-398.254,-168.274,414.185
-0.105,3.233,3.452,-391.296,-170.349,404.297
0.180,3.139,4.000,-366.577,-169.495,388.916
0.413,2.862,4.000,-317.810,-162.231,366.760
-0.283,-0.500,1.081,71.289,162.292,-103.577
-0.249,-0.494,1.100,69.763,157.959,-100.647
-0.201,-0.495,1.152,67.139,154.358,-96.558
-0.149,-0.531,1.216,63.965,153.625,-92.224
-0.109,-0.572,1.286,61.646,153.015,-89.905
-0.087,-0.586,1.368,61.340,150.513,-91.309
-0.095,-0.589,1.431,61.768,148.987,-94.849
-0.094,-0.584,1.470,64.331,151.428,-97.778
-0.098,-0.577,1.512,69.946,158.752,-100.342
-0.083,-0.571,1.533,76.599,171.143,-101.929
-0.063,-0.577,1.552,84.045,185.364,-102.966
-0.044,-0.607,1.562,92.590,198.120,-102.600
-0.031,-0.638,1.552,103.516,203.003,-101.257
-0.029,-0.663,1.511,116.638,194.458,-98.206
-0.037,-0.678,1.418,130.127,171.326,-93.262
-0.050,-0.681,1.287,140.869,138.977,-87.097
-0.063,-0.670,1.130,147.766,106.689,-79.529
-0.073,-0.688,0.971,152.344,80.750,-69.885
-0.080,-0.718,0.815,156.250,61.890,-60.425
-0.087,-0.734,0.666,160.950,48.401,-54.077
-0.100,-0.737,0.516,166.016,39.063,-50.659
-0.118,-0.729,0.376,171.021,32.471,-49.927
-0.138,-0.700,0.240,174.927,27.100,-50.842
-0.172,-0.659,0.119,177.612,23.010,-51.758
-0.210,-0.605,-0.002,179.016,21.851,-52.551
-0.248,-0.543,-0.117,180.542,24.658,-54.260
-0.293,-0.480,-0.219,182.922,31.921,-57.556
-0.340,-0.408,-0.311,185.547,42.908,-62.012
-0.395,-0.334,-0.395,186.157,55.176,-67.871
-0.480,-0.272,-0.476,183.105,67.322,-74.707
-0.594,-0.185,-0.499,175.171,81.360,-81.543
-0.684,-0.063,-0.461,160.645,91.003,-90.576
-0.766,0.049,-0.415,138.000,84.534,-101.868
-0.894,0.130,-0.399,108.398,56.458,-111.511
-1.050,0.185,-0.435,78.186,15.442,-118.286
-1.207,0.252,-0.525,55.420,-21.545,-122.925
-1.398,0.380,-0.650,44.373,-47.058,-126.587
-1.678,0.552,-0.840,44.495,-60.547,-129.089
-2.039,0.777,-1.107,53.650,-63.232,-130.981
-2.453,1.062,-1.349,61.157,-54.016,-127.258
-2.768,1.309,-1.489,50.232,-38.025,-110.840
-3.011,1.521,-1.585,8.728,-39.795,-76.172
-3.208,1.710,-1.581,-61.829,-67.017,-22.095
-3.371,1.979,-1.486,-148.804,-112.671,45.471
-3.461,2.357,-1.292,-237.610,-164.429,124.146
-3.364,2.830,-0.956,-319.763,-208.557,209.045
-3.016,3.267,-0.556,-383.179,-235.657,290.588
-2.490,3.570,-0.167,-426.636,-241.943,358.337
-1.914,3.814,0.202,-458.252,-232.239,410.339
-1.359,4.000,0.739,-489.441,-218.384,452.393
-0.644,4.000,1.630,-521.667,-205.566,480.103
0.233,4.000,2.744,-549.438,-194.702,488.831
0.970,4.000,3.831,-562.134,-202.820,486.877
1.329,3.846,4.000,-541.443,-216.614,477.295
1.594,3.428,4.000,-493.835,-203.918,449.158
1.996,3.013,4.000,-427.002,-173.218,412.292
2.169,2.457,4.000,-348.083,-153.809,383.484
1.905,1.954,4.000,-269.409,-172.119,356.140
2.175,1.440,4.000,-205.383,-100.708,299.011
2.099,0.984,4.000,-148.010,-44.861,261.536
1.987,0.701,4.000,-90.088,-4.944,226.257
1.767,0.503,4.000,-31.250,26.489,193.848
1.560,0.431,4.000,2.258,43.152,173.279
1.500,0.400,4.000,17.761,68.298,162.964
1.528,0.408,4.000,33.020,94.116,160.706
1.655,0.379,4.000,52.490,114.075,155.212
1.597,0.263,4.000,78.796,122.986,143.494
1.371,0.102,3.673,109.436,121.887,127.930
1.197,-0.042,3.198,142.395,145.203,102.905
0.872,-0.124,2.674,172.119,175.659,74.402
0.695,-0.204,2.404,194.885,204.224,45.959
0.357,-0.215,1.972,212.036,202.087,26.978
0.172,-0.253,1.514,221.619,208.130,14.709
0.044,-0.324,1.208,221.130,223.022,9.888
0.000,-0.376,1.020,210.449,233.948,11.353
0.010,-0.392,0.858,198.792,238.464,12.024
0.018,-0.360,0.661,188.965,238.892,10.315
0.051,-0.309,0.491,178.528,242.126,6.836
0.097,-0.237,0.340,166.077,251.282,3.357
0.200,-0.220,0.291,153.748,266.785,0.610
0.314,-0.173,0.258,145.203,277.527,-2.808
0.392,-0.099,0.218,143.921,283.386,-9.888
0.454,-0.019,0.121,149.292,282.410,-20.630
0.468,0.034,0.000,153.198,274.292,-33.691
0.466,0.109,-0.163,148.865,264.038,-46.631
0.448,0.189,-0.344,136.047,259.033,-56.030
0.430,0.237,-0.460,113.281,265.137,-60.974
0.412,0.296,-0.489,84.595,281.250,-63.477
0.394,0.360,-0.444,57.678,298.401,-62.256
0.405,0.442,-0.382,35.950,302.551,-54.321
0.422,0.518,-0.362,17.395,283.081,-41.138
0.431,0.588,-0.403,-1.282,247.986,-24.292
0.433,0.611,-0.433,-19.043,209.900,-7.690
0.453,0.648,-0.459,-33.752,177.368,4.211
0.470,0.639,-0.450,-45.044,155.518,10.864
0.488,0.640,-0.413,-52.307,140.198,8.423
0.472,0.680,-0.395,-55.481,128.662,1.282
0.455,0.759,-0.435,-56.702,125.549,-4.822
0.436,0.850,-0.480,-60.181,128.174,-10.742
0.418,0.970,-0.522,-68.054,133.850,-21.423
0.396,1.101,-0.505,-78.430,142.334,-36.377
0.232,1.100,-0.466,-89.111,150.879,-53.162
0.145,1.151,-0.421,-97.900,151.184,-62.561
0.033,1.165,-0.383,-101.196,154.785,-65.125
-0.052,1.166,-0.355,-101.807,155.884,-57.556
-0.098,1.188,-0.384,-99.792,152.222,-43.396
-0.110,1.202,-0.462,-101.318,146.851,-28.198
-0.109,1.203,-0.494,-112.549,140.564,-14.526
-0.124,1.199,-0.484,-129.028,130.188,-3.601
-0.101,1.218,-0.481,-141.113,114.014,9.644
-0.047,1.224,-0.484,-149.658,96.252,26.245
0.018,1.191,-0.509,-159.302,81.238,42.419
0.118,1.135,-0.591,-169.739,66.956,54.138
0.197,1.097,-0.650,-182.190,55.115,58.472
0.124,1.155,-0.605,-199.585,44.800,53.467
-0.123,1.282,-0.484,-222.351,40.344,45.776
-0.337,1.292,-0.337,-240.417,48.401,46.326
-0.390,1.312,-0.193,-242.493,69.153,67.932
-0.282,1.365,-0.086,-230.408,90.637,102.295
0.189,0.011,-0.503,74.768,86.487,15.198
0.140,0.129,-0.502,73.364,69.336,11.414
0.098,0.256,-0.492,71.899,52.673,10.376
0.046,0.360,-0.500,67.566,38.452,13.489
0.023,0.458,-0.525,60.669,25.818,18.494
0.003,0.540,-0.578,48.523,12.939,22.766
-0.023,0.627,-0.615,31.250,-1.282,24.231
-0.062,0.726,-0.631,9.888,-12.756,24.475
-0.103,0.858,-0.643,-11.902,-20.386,24.475
-0.121,1.021,-0.661,-31.250,-21.423,25.879
-0.143,1.166,-0.658,-46.997,-12.268,30.701
-0.136,1.250,-0.641,-61.768,7.751,39.795
-0.116,1.297,-0.598,-76.050,35.767,50.659
-0.087,1.289,-0.530,-89.417,64.819,61.523
-0.058,1.255,-0.470,-99.121,88.440,70.679
-0.036,1.220,-0.420,-104.736,102.539,78.979
-0.030,1.172,-0.386,-105.957,106.750,86.182
-0.047,1.145,-0.359,-103.027,99.670,90.942
-0.069,1.147,-0.367,-98.450,82.031,94.604
-0.117,1.142,-0.403,-95.154,57.434,98.145
-0.168,1.159,-0.449,-95.642,31.006,101.990
-0.219,1.197,-0.490,-99.304,8.057,108.093
-0.238,1.238,-0.514,-106.750,-6.958,118.530
-0.223,1.270,-0.542,-117.676,-12.939,134.766
-0.198,1.270,-0.544,-131.653,-11.719,153.503
-0.166,1.309,-0.468,-146.484,-6.165,170.898
-0.136,1.356,-0.345,-159.424,-1.770,185.974
-0.093,1.399,-0.216,-168.823,-1.770,202.087
-0.053,1.466,-0.069,-172.729,-11.780,219.910
-0.006,1.526,0.066,-173.828,-33.020,237.549
0.038,1.532,0.180,-175.659,-60.669,254.150
0.066,1.513,0.275,-176.941,-97.839,271.973
0.089,1.539,0.343,-174.866,-148.499,289.246
0.130,1.591,0.384,-172.241,-205.811,306.091
0.229,1.702,0.424,-173.645,-257.263,325.867
0.368,1.800,0.533,-180.481,-299.805,350.281
0.575,1.817,0.664,-194.031,-331.970,370.667
0.776,1.801,0.847,-209.900,-360.046,380.981
0.894,1.797,1.116,-221.436,-389.404,379.456
0.962,1.683,1.438,-227.478,-415.771,365.540
1.019,1.605,1.755,-223.572,-435.486,343.506
1.096,1.630,2.122,-205.750,-443.115,315.308
1.226,1.693,2.516,-182.129,-428.345,280.823
1.351,1.786,2.827,-158.203,-399.658,238.342
1.373,1.927,2.988,-132.935,-373.474,184.814
1.299,2.053,3.057,-105.103,-359.131,126.831
1.195,2.151,3.062,-81.421,-349.670,80.505
1.133,2.180,3.034,-64.392,-333.008,48.889
1.128,2.148,3.060,-51.514,-305.664,30.151
1.179,2.110,3.124,-39.734,-274.170,20.691
1.253,2.093,3.146,-25.146,-248.291,13.855
1.361,2.039,3.144,-5.798,-231.506,3.967
1.449,1.995,3.070,13.428,-213.440,-5.920
1.547,1.922,2.937,33.325,-193.054,-20.935
1.629,1.830,2.762,52.551,-166.931,-41.565
1.685,1.723,2.560,70.313,-138.672,-68.542
1.668,1.611,2.379,85.571,-112.183,-99.121
1.575,1.491,2.213,97.717,-87.585,-127.197
1.414,1.375,2.077,107.910,-65.613,-151.001
1.234,1.250,1.939,118.042,-46.021,-171.753
1.078,1.121,1.803,127.197,-28.870,-188.110
0.942,1.017,1.690,133.728,-14.404,-200.989
0.813,0.932,1.620,138.977,-3.113,-211.243
0.688,0.834,1.581,143.799,8.545,-218.445
0.617,0.746,1.559,149.414,22.095,-223.328
0.581,0.672,1.560,157.227,37.109,-227.051
0.546,0.579,1.560,166.077,48.828,-230.591
0.493,0.470,1.556,175.598,53.650,-235.413
0.425,0.385,1.520,187.317,53.162,-240.417
0.342,0.333,1.453,202.515,48.584,-243.774
0.254,0.291,1.353,217.529,40.039,-245.178
0.156,0.234,1.225,229.431,29.419,-244.080
0.068,0.186,1.083,238.953,17.639,-240.845
-0.006,0.139,0.958,247.375,4.517,-234.741
-0.078,0.114,0.835,254.944,-8.545,-226.257
-0.170,0.041,0.703,260.010,-21.118,-215.332
-0.260,-0.018,0.545,262.329,-33.264,-202.942
-0.321,-0.089,0.390,263.794,-42.603,-189.209
-0.381,-0.155,0.237,263.245,-44.739,-174.683
-0.401,-0.201,0.100,257.874,-37.231,-161.499
-0.403,-0.237,0.004,248.657,-21.118,-149.109
-0.382,-0.264,-0.056,236.084,-2.686,-137.268
-0.372,-0.289,-0.076,221.619,15.198,-126.587
-0.387,-0.308,-0.053,208.191,31.372,-116.394
-0.446,-0.318,0.006,199.463,41.687,-106.018
-0.496,-0.303,0.077,197.327,41.382,-94.360
-0.567,-0.279,0.125,199.219,24.414,-80.688
-0.618,-0.243,0.139,201.599,-5.798,-65.552
-0.685,-0.203,0.089,203.369,-46.204,-49.927
-0.717,-0.166,-0.011,202.271,-93.811,-34.790
-0.748,-0.167,-0.143,195.312,-139.526,-18.250
-0.762,-0.195,-0.274,182.312,-175.903,0.122
-0.742,-0.242,-0.381,164.307,-198.608,18.982
-0.745,-0.277,-0.400,142.273,-209.351,33.630
-0.781,-0.288,-0.410,118.042,-208.008,42.053
-0.816,-0.236,-0.369,94.727,-194.946,43.396
-0.845,-0.156,-0.309,72.937,-183.472,39.246
-0.881,-0.104,-0.237,50.903,-180.237,33.569
-0.965,-0.111,-0.193,29.724,-182.495,27.710
-1.055,-0.090,-0.166,13.245,-184.021,20.386
-1.136,-0.030,-0.162,3.174,-179.687,12.512
-1.229,0.052,-0.174,-3.540,-170.959,7.874
-1.309,0.122,-0.210,-9.827,-158.447,10.986
-1.360,0.203,-0.222,-15.015,-142.456,24.109
-1.413,0.271,-0.221,-21.240,-128.296,45.349
-1.410,0.341,-0.241,-33.142,-117.126,72.266
-1.352,0.383,-0.257,-49.683,-109.009,104.187
-1.267,0.435,-0.253,-70.862,-103.577,136.963
-1.138,0.495,-0.199,-93.811,-100.769,164.307
-1.001,0.546,-0.125,-115.540,-101.685,182.251
-0.899,0.595,-0.041,-135.742,-106.140,192.749
-0.795,0.659,0.074,-152.161,-110.291,196.167
-0.607,0.760,0.255,-162.903,-110.352,191.162
-0.458,0.823,0.501,-171.570,-108.887,181.030
-0.360,0.908,0.770,-182.556,-114.380,171.448
-0.302,1.008,1.019,-192.505,-127.686,166.016
-0.289,1.016,1.224,-195.618,-147.522,165.466
-0.298,1.000,1.369,-196.167,-171.082,169.800
-0.294,0.957,1.512,-198.120,-190.186,177.002
-0.533,-0.726,0.086,198.120,208.130,-175.293
-0.491,-0.736,-0.095,197.937,229.126,-164.307
-0.460,-0.746,-0.234,195.312,249.817,-156.372
-0.447,-0.714,-0.351,189.453,266.479,-151.917
-0.451,-0.692,-0.419,181.519,278.076,-148.132
-0.437,-0.667,-0.445,171.814,284.790,-142.639
-0.412,-0.622,-0.426,159.607,282.959,-136.169
-0.385,-0.573,-0.396,142.700,268.433,-130.371
-0.383,-0.523,-0.378,120.728,242.126,-125.305
-0.376,-0.459,-0.357,97.351,208.252,-122.375
-0.377,-0.422,-0.350,72.998,170.532,-119.751
-0.394,-0.390,-0.367,48.889,132.751,-116.211
-0.417,-0.358,-0.378,29.175,96.680,-111.755
-0.435,-0.323,-0.391,13.489,61.829,-108.093
-0.460,-0.283,-0.400,0.854,27.954,-106.689
-0.496,-0.229,-0.407,-10.864,-2.441,-108.582
-0.551,-0.165,-0.418,-20.569,-27.710,-113.342
-0.621,-0.097,-0.440,-27.161,-47.791,-120.789
-0.719,-0.039,-0.476,-30.701,-59.753,-129.517
-0.829,0.014,-0.512,-32.043,-60.730,-139.221
-0.962,0.060,-0.542,-31.738,-52.185,-148.621
-1.127,0.120,-0.563,-29.724,-38.513,-155.457
-1.289,0.211,-0.575,-27.405,-23.987,-157.959
-1.451,0.304,-0.574,-28.870,-13.611,-154.053
-1.656,0.402,-0.570,-38.513,-11.597,-141.724
-1.868,0.466,-0.547,-53.955,-20.996,-122.375
-2.040,0.546,-0.524,-72.083,-40.283,-95.642
-2.189,0.655,-0.502,-91.614,-68.176,-59.631
-2.312,0.795,-0.543,-116.638,-100.647,-17.029
-2.371,0.912,-0.578,-145.508,-124.939,31.494
-2.315,1.041,-0.601,-178.162,-134.338,85.999
-2.200,1.161,-0.500,-214.417,-130.127,142.090
-2.015,1.318,-0.324,-250.854,-121.521,193.542
-1.831,1.440,-0.092,-281.189,-119.934,235.657
-1.636,1.601,0.123,-303.528,-129.395,266.724
-1.502,1.747,0.331,-319.275,-144.592,290.405
-1.370,1.882,0.527,-327.026,-154.358,306.519
-1.176,1.983,0.666,-325.867,-155.762,315.247
-0.996,2.100,0.809,-322.083,-151.917,320.618
-0.763,2.205,1.048,-323.059,-136.414,326.721
-0.440,2.293,1.490,-333.679,-112.549,338.318
0.034,2.245,2.189,-347.168,-92.773,357.544
0.628,2.066,2.860,-359.924,-94.482,373.840
0.998,1.866,3.284,-358.643,-124.451,371.887
1.124,1.560,3.483,-328.186,-160.583,346.069
1.052,1.274,3.505,-285.217,-180.664,302.185
0.883,1.112,3.441,-247.925,-172.607,262.024
0.732,0.987,3.433,-212.585,-140.137,235.718
